Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"15661 BUS 321 2","Global Entrepreneurship","4","A Althuis","","MWF","09:00","09:50A","LECTURE"
"15625 BUS 325 1","Business Comm & Negotiation","4","A Hemphill","","TR","09:30","10:45A","LECTURE"
"15638 BUS 331 1","Financial Statement Analysis","4","T Sheppe","","TR","08:00","09:15A","LECTURE"
"15636 BUS 332 1","Family Business Financial Mgt","4","D Caban","","MW","1 :00","2 :15P","LECTURE"
"15637 BUS 334 1","Family Business Planning","4","M Carroll","","MW","2 :30","3 :45P","LECTURE"
"15687 BUS 348 1","Investments","4","M Sardy","","MW","4 :00","5 :15P","LECTURE"
"16096 BUS 348 2","Investments","4","M Sardy","","MW","1 :00","2 :15P","LECTURE"
"15713 BUS 352 1","Customer Experience Management","4","R Phillips","","F","1 :00","3 :30P","LECTURE"
"15695 BUS 376 1","Personal Selling","4","B Kroll","","TR","2 :00","3 :15P","LECTURE"
"15696 BUS 376 2","Personal Selling","4","B Kroll","","TR","3 :30","4 :45P","LECTURE"
"16239 BUS 395 1","Tpc:Business of Water & Energy","4","J Shideler","","TR","11:00","12:15P","LECTURE"
"15646 BUS 450 1","Global Business Strategy","4","K Kiefer","","TR","09:30","10:45A","LECTURE"
"15647 BUS 450 2","Global Business Strategy","4","J Lee","","MW","1 :00","2 :15P","LECTURE"
"15648 BUS 450 3","Global Business Strategy","4","K Kiefer","","TR","11:00","12:15P","LECTURE"
"15649 BUS 450 4","Global Business Strategy","4","M Carroll","","TR","2 :00","3 :15P","LECTURE"
"15650 BUS 450 5","Global Business Strategy","4","J Lee","","MW","2 :30","3 :45P","LECTURE"
"15658 BUS 450 6","Global Business Strategy","4","M Carroll","","TR","3 :30","4 :45P","LECTURE"
"15659 BUS 450 H1X","Global Business Strategy","4","J Lee","","W","6 :00","8 :30P","LECTURE"
"15681 INB 200 1","Intro to Intl Business","4","K Buckley","","MWF","08:00","08:50A","LECTURE"
"15682 INB 200 2","Intro to Intl Business","4","K Buckley","","MWF","09:00","09:50A","LECTURE"
"15671 INB 337 1","International Marketing Mgmt","4","M Carroll","","MW","1 :00","2 :15P","LECTURE"
"15672 INB 365 1","International Operations & MIS","4","F Hassanmirzaei","","TR","11:00","12:15P","LECTURE"
"15673 INB 372 1","Intl Financial Management","4","M Sardy","","MW","2 :30","3 :45P","LECTURE"
"15683 MGT 101 1","Intro to Resp Business Mgmt","4","M Whitesides","","MWF","09:00","09:50A","LECTURE"
"15684 MGT 101 2","Intro to Resp Business Mgmt","4","M Whitesides","","MWF","10:00","10:50A","LECTURE"
"15685 MGT 101 3","Intro to Resp Business Mgmt","4","M Whitesides","","MWF","12:00","12:50P","LECTURE"
"15698 MGT 312 1","Responsible Bus Leadership","4","V Alves","","MWF","11:00","11:50A","LECTURE"
"15699 MGT 312 2","Responsible Bus Leadership","4","J Pereira","","MWF","08:00","08:50A","LECTURE"
